transaction_id,date,account_id,transaction_type,category_id,merchant_id,amount,payment_method,description,note
T0000001,2022-01-01,CHK,Income,PAY,M_PAYROLL,4259.26,Direct Deposit,Paycheck,
T0000002,2022-01-01,CHK,Transfer,RET401,M_401K,-255.56,Payroll,401k Contribution,
T0000003,2022-01-01,INV401,Transfer,RET401,M_401K,255.56,Payroll,401k Contribution,
T0000617,2022-01-01,CHK,Expense,GROC,M0020,-62.29,Debit,Groceries,
T0000473,2022-01-03,CHK,Expense,PHON,M0130,-80.58,ACH,PHON,
T0000618,2022-01-03,CC1,Expense,GAS,M0108,-89.19,Card,Gas,
T0000377,2022-01-03,CHK,Expense,RENT,M0104,-1345.96,ACH,RENT,
T0000569,2022-01-04,CC1,Expense,SUBS,M0047,-20.0,ACH,SUBS,
T0000425,2022-01-05,CHK,Expense,UTIL,M0012,-156.55,ACH,UTIL,
T0000521,2022-01-05,CHK,Expense,INS,M0045,-180.07,ACH,INS,
T0000083,2022-01-06,CHK,Income,SIDE,M_SIDE,711.94,ACH,Side Income,
T0000619,2022-01-08,CHK,Expense,GROC,M0035,-89.15,Debit,Groceries,
T0000975,2022-01-08,CC2,Expense,DINE,M0015,-59.27,Card,Dining,
T0000620,2022-01-10,CC1,Expense,GAS,M0100,-15.0,Card,Gas,
T0000006,2022-01-15,INV401,Transfer,RET401,M_401K,255.56,Payroll,401k Contribution,
T0000004,2022-01-15,CHK,Income,PAY,M_PAYROLL,4259.26,Direct Deposit,Paycheck,
T0000621,2022-01-15,CHK,Expense,GROC,M0072,-90.94,Debit,Groceries,
T0000005,2022-01-15,CHK,Transfer,RET401,M_401K,-255.56,Payroll,401k Contribution,
T0000622,2022-01-22,CHK,Expense,GROC,M0129,-85.85,Debit,Groceries,
T0000976,2022-01-23,CC2,Expense,ENT,M0131,-62.68,Card,Entertainment,
T0000623,2022-01-24,CC1,Expense,GAS,M0025,-48.17,Card,Gas,
T0001188,2022-01-26,CC1,Transfer,CC_PAY,M_CC_PAY,166.13,ACH,CC Payment,
T0001187,2022-01-26,CHK,Transfer,CC_PAY,M_CC_PAY,-166.13,ACH,CC Payment CC1,
T0001283,2022-01-26,CHK,Transfer,CC_PAY,M_CC_PAY,-150.73,ACH,CC Payment CC2,
T0001284,2022-01-26,CC2,Transfer,CC_PAY,M_CC_PAY,150.73,ACH,CC Payment,
T0000624,2022-01-29,CHK,Expense,GROC,M0149,-32.74,Debit,Groceries,
T0000977,2022-01-29,CC2,Expense,DINE,M0060,-36.83,Card,Dining,
T0000008,2022-01-29,CHK,Transfer,RET401,M_401K,-255.56,Payroll,401k Contribution,
T0000009,2022-01-29,INV401,Transfer,RET401,M_401K,255.56,Payroll,401k Contribution,
T0000007,2022-01-29,CHK,Income,PAY,M_PAYROLL,4259.26,Direct Deposit,Paycheck,
T0000522,2022-02-02,CHK,Expense,INS,M0114,-112.0,ACH,INS,
T0000426,2022-02-02,CHK,Expense,UTIL,M0135,-134.69,ACH,UTIL,
T0000474,2022-02-02,CHK,Expense,PHON,M0003,-89.68,ACH,PHON,
T0000570,2022-02-02,CC1,Expense,SUBS,M0118,-21.93,ACH,SUBS,
T0000378,2022-02-04,CHK,Expense,RENT,M0078,-1164.46,ACH,RENT,
T0000978,2022-02-05,CC2,Expense,DINE,M0054,-71.68,Card,Dining,
T0000625,2022-02-05,CHK,Expense,GROC,M0149,-56.47,Debit,Groceries,
T0000626,2022-02-07,CC1,Expense,GAS,M0061,-42.91,Card,Gas,
T0000010,2022-02-12,CHK,Income,PAY,M_PAYROLL,4259.26,Direct Deposit,Paycheck,
T0000627,2022-02-12,CHK,Expense,GROC,M0056,-66.46,Debit,Groceries,
T0000012,2022-02-12,INV401,Transfer,RET401,M_401K,255.56,Payroll,401k Contribution,
T0000011,2022-02-12,CHK,Transfer,RET401,M_401K,-255.56,Payroll,401k Contribution,
T0000082,2022-02-15,CHK,Income,BONUS,M_PAYROLL,6303.41,Direct Deposit,Annual Bonus,
T0000084,2022-02-17,CHK,Income,SIDE,M_SIDE,463.58,ACH,Side Income,
T0000628,2022-02-19,CHK,Expense,GROC,M0080,-105.42,Debit,Groceries,
T0000979,2022-02-19,CC2,Expense,DINE,M0120,-54.52,Card,Dining,
T0000980,2022-02-20,CC2,Expense,ENT,M0063,-43.37,Card,Entertainment,
T0000629,2022-02-21,CC1,Expense,GAS,M0149,-77.23,Card,Gas,
T0000630,2022-02-26,CHK,Expense,GROC,M0094,-124.5,Debit,Groceries,
T0000981,2022-02-26,CC2,Expense,DINE,M0127,-77.92,Card,Dining,
T0001190,2022-02-26,CC1,Transfer,CC_PAY,M_CC_PAY,110.11,ACH,CC Payment,
T0000014,2022-02-26,CHK,Transfer,RET401,M_401K,-255.56,Payroll,401k Contribution,
T0000015,2022-02-26,INV401,Transfer,RET401,M_401K,255.56,Payroll,401k Contribution,
T0001189,2022-02-26,CHK,Transfer,CC_PAY,M_CC_PAY,-110.11,ACH,CC Payment CC1,
T0001285,2022-02-26,CHK,Transfer,CC_PAY,M_CC_PAY,-174.62,ACH,CC Payment CC2,
T0001286,2022-02-26,CC2,Transfer,CC_PAY,M_CC_PAY,174.62,ACH,CC Payment,
T0000013,2022-02-26,CHK,Income,PAY,M_PAYROLL,4259.26,Direct Deposit,Paycheck,
T0000094,2022-03-01,SAV,Income,INT,M_BANKINT,38.3,ACH,Interest,
T0000571,2022-03-02,CC1,Expense,SUBS,M0051,-23.23,ACH,SUBS,
T0000475,2022-03-03,CHK,Expense,PHON,M0125,-115.87,ACH,PHON,
T0000523,2022-03-04,CHK,Expense,INS,M0139,-183.83,ACH,INS,
T0000427,2022-03-04,CHK,Expense,UTIL,M0050,-189.35,ACH,UTIL,
T0000379,2022-03-05,CHK,Expense,RENT,M0041,-1199.58,ACH,RENT,
T0000631,2022-03-05,CHK,Expense,GROC,M0142,-29.94,Debit,Groceries,
T0000982,2022-03-05,CC2,Expense,DINE,M0006,-15.0,Card,Dining,
T0000085,2022-03-11,CHK,Income,SIDE,M_SIDE,746.47,ACH,Side Income,
T0000632,2022-03-12,CHK,Expense,GROC,M0047,-44.83,Debit,Groceries,
T0000016,2022-03-12,CHK,Income,PAY,M_PAYROLL,4259.26,Direct Deposit,Paycheck,
T0000017,2022-03-12,CHK,Transfer,RET401,M_401K,-255.56,Payroll,401k Contribution,
T0000018,2022-03-12,INV401,Transfer,RET401,M_401K,255.56,Payroll,401k Contribution,
T0000983,2022-03-13,CC2,Expense,ENT,M0089,-59.64,Card,Entertainment,
T0000984,2022-03-19,CC2,Expense,DINE,M0081,-82.88,Card,Dining,
T0000633,2022-03-19,CHK,Expense,GROC,M0113,-76.99,Debit,Groceries,
T0001191,2022-03-26,CHK,Transfer,CC_PAY,M_CC_PAY,-77.76,ACH,CC Payment CC1,
T0000019,2022-03-26,CHK,Income,PAY,M_PAYROLL,4259.26,Direct Deposit,Paycheck,
T0000020,2022-03-26,CHK,Transfer,,M_401K,-255.56,Payroll,401k Contribution,category_missing
T0000021,2022-03-26,INV401,Transfer,RET401,M_401K,255.56,Payroll,401k Contribution,
T0001287,2022-03-26,CHK,Transfer,CC_PAY,M_CC_PAY,-149.84,ACH,CC Payment CC2,
T0001288,2022-03-26,CC2,Transfer,CC_PAY,M_CC_PAY,149.84,ACH,CC Payment,
T0001192,2022-03-26,CC1,Transfer,CC_PAY,M_CC_PAY,77.76,ACH,CC Payment,
T0000634,2022-03-26,CHK,Expense,GROC,M0108,-83.56,Debit,Groceries,
T0000985,2022-03-27,CC2,Expense,ENT,M0042,-36.7,Card,Entertainment,
T0000635,2022-03-28,CC1,Expense,GAS,M0012,-60.95,Card,Gas,
T0000572,2022-04-02,CC1,Expense,SUBS,M0135,-20.0,ACH,SUBS,
T0000636,2022-04-02,CHK,Expense,GROC,M0112,-72.26,Debit,Groceries,
T0000380,2022-04-02,CHK,Expense,RENT,M0051,-1229.47,ACH,RENT,
T0000986,2022-04-02,CC2,Expense,DINE,M0011,-26.73,Card,Dining,
T0000987,2022-04-03,CC2,Expense,ENT,M0142,-67.19,Card,Entertainment,
T0000637,2022-04-04,CC1,Expense,GAS,M0139,-53.54,Card,Gas,
T0000524,2022-04-05,CHK,Expense,INS,M0040,-200.34,ACH,INS,
T0000476,2022-04-05,CHK,Expense,PHON,M0088,-102.9,ACH,PHON,
T0000428,2022-04-05,CHK,Expense,UTIL,M0014,-192.89,ACH,UTIL,
T0000024,2022-04-09,INV401,Transfer,RET401,M_401K,255.56,Payroll,401k Contribution,
T0000988,2022-04-09,CC2,Expense,DINE,M0074,-46.46,Card,Dining,
T0000638,2022-04-09,CHK,Expense,GROC,M0045,-61.51,Debit,Groceries,
T0000022,2022-04-09,CHK,Income,PAY,M_PAYROLL,4259.26,Direct Deposit,Paycheck,
T0000023,2022-04-09,CHK,Transfer,RET401,M_401K,-255.56,Payroll,401k Contribution,
T0000639,2022-04-11,CC1,Expense,GAS,M0021,-21.34,Card,Gas,
T0000640,2022-04-16,CHK,Expense,GROC,M0053,-74.26,Debit,Groceries,
T0001178,2022-04-18,CC1,Expense,TRAV,M0141,-1131.41,Card,Travel,
T0000641,2022-04-18,CC1,Expense,GAS,M0141,-94.61,Card,Gas,
T0000086,2022-04-22,CHK,Income,SIDE,M_SIDE,313.35,ACH,Side Income,
T0000025,2022-04-23,CHK,Income,PAY,M_PAYROLL,4259.26,Direct Deposit,Paycheck,
T0000026,2022-04-23,CHK,Transfer,RET401,M_401K,-255.56,Payroll,401k Contribution,
T0000027,2022-04-23,INV401,Transfer,RET401,M_401K,255.56,Payroll,401k Contribution,
T0000989,2022-04-23,CC2,Expense,DINE,M0028,-59.32,Card,Dining,
T0000642,2022-04-23,CHK,Expense,GROC,M0032,-108.05,Debit,Groceries,
T0000990,2022-04-24,CC2,Expense,ENT,M0001,-57.14,Card,Entertainment,
T0000643,2022-04-25,CC1,Expense,GAS,M0128,-41.47,Card,Gas,
T0001193,2022-04-26,CHK,Transfer,CC_PAY,M_CC_PAY,-1213.19,ACH,CC Payment CC1,
T0001194,2022-04-26,CC1,Transfer,CC_PAY,M_CC_PAY,1213.19,ACH,CC Payment,
T0001289,2022-04-26,CHK,Transfer,CC_PAY,M_CC_PAY,-235.29,ACH,CC Payment CC2,
T0001290,2022-04-26,CC2,Transfer,CC_PAY,M_CC_PAY,235.29,ACH,CC Payment,
T0000644,2022-04-30,CHK,Expense,GROC,M0107,-111.07,Debit,Groceries,
T0000991,2022-04-30,CC2,Expense,DINE,M0063,-55.56,Card,Dining,
T0000992,2022-05-01,CC2,Expense,ENT,M0077,-10.0,Card,Entertainment,
T0000573,2022-05-02,CC1,Expense,SUBS,M0079,-20.0,ACH,SUBS,
T0000429,2022-05-02,CHK,Expense,UTIL,M0119,-163.49,ACH,UTIL,
T0000525,2022-05-02,CHK,Expense,INS,M0046,-173.19,ACH,INS,
T0000477,2022-05-03,CHK,Expense,PHON,M0055,-78.86,ACH,PHON,
T0000381,2022-05-04,CHK,Expense,RENT,M0097,-1271.45,ACH,RENT,
T0000645,2022-05-07,CHK,Expense,GROC,M0126,-73.28,Debit,Groceries,
